800;
800~690;780;
690;750;
690;720;
720;720;
750;720;
780;720;
780;750;
780;780;
750;780;
720;780;
720;750;
750;750;
660;780;
630;780;
600;780;
570;780;
540;780;
510;780;
480;780;
450;780;
420;780;
390;780;
360;780;
330;780;
300;780;
270;780;
240;780;
210;780;
180;780;
150;780;
120;780;
90;780;
60;780;
30;780;
0;780;
0;750;
0;720;
0;690;
0;660;
0;630;
0;600;
0;570;
0;540;
0;510;
0;480;
0;450;
0;420;
0;390;
0;360;
0;330;
0;300;
0;270;
0;240;
0;210;
0;180;
0;150;
0;120;
0;90;
0;60;
0;30;
0;0;
30;0;
60;0;
90;0;
120;0;
150;0;
180;0;
210;0;
240;0;
270;0;
300;0;
330;0;
360;0;
390;0;
420;0;
450;0;
480;0;
510;0;
540;0;
570;0;
600;0;
630;0;
660;0;
690;0;
720;0;
750;0;
780;0;
780;30;
780;60;
780;90;
780;120;
780;150;
780;180;
780;210;
780;240;
780;270;
780;300;
780;330;
780;360;
780;390;
780;420;
780;450;
780;480;
780;510;
780;540;
780;570;
780;600;
780;630;
780;660;
780;690;
30;60;
60;60;
90;60;
90;30;
60;30;
30;30;
60;360;
90;330;
120;330;
120;360;
120;390;
90;390;
60;390;
210;330;
210;360;
210;390;
240;390;
270;390;
270;360;
270;330;
240;330;
360;330;
360;360;
360;390;
390;390;
420;390;
420;360;
420;330;
390;330;
510;330;
510;360;
510;390;
540;390;
570;390;
570;360;
570;330;
540;330;
660;330;
660;360;
660;390;
690;390;
690;360;
690;330;
