1920.0;
1080.0
;!985;954;~#375;525;
375;315;
375;105;
795;105;
1095;105;
1425;105;
1425;315;
1425;525;
1425;555;
1425;795;
1095;795;
795;795;
375;795;
375;555;
375;525;
495;165;
465;195;
465;225;
495;255;
525;255;
555;225;
555;195;
525;165;
495;165;
1245;165;
1275;165;
1305;195;
1305;225;
1275;255;
1245;255;
1215;225;
1215;195;
1245;165;
465;645;
495;645;
525;645;
555;645;
555;675;
555;705;
555;735;
555;765;
525;765;
495;765;
465;765;
465;735;
465;705;
465;675;
465;645;
675;165;
705;195;
735;225;
765;255;
795;285;
765;255;
735;225;
705;195;
675;165;
795;165;
765;195;
735;225;
705;255;
675;285;
705;255;
735;225;
765;195;
795;165;
x930;510;
990;510;
990;570;
930;570;
900;510;
1020;510;
1020;570;
900;570;
900;480;
1020;480;
1020;600;
900;600;
870;480;
1050;480;
1050;600;
870;600;
870;450;
1050;450;
1050;630;
870;630;
840;450;
1080;450;
1080;630;
840;630;
840;420;
1080;420;
1080;660;
840;660;
810;420;
1110;420;
1110;660;
810;660;
780;390;
1140;390;
1140;690;
780;690;
780;690;
780;690;
780;690;
780;690;
780;690;
780;690;
780;690;
780;690;
750;390;
1170;390;
1170;690;
750;690;
y630;540;
1260;540;
960;270;
960;780;
