1920.0;
1080.0
;!0;0;~480;150;
1410;150;
1410;900;
480;900;
480;180;
1410;180;
1410;870;
480;870;
480;210;
1410;210;
1410;840;
480;840;
450;180;
1440;180;
1440;870;
450;870;
510;180;
1380;180;
1380;870;
510;870;
#x960;540;
870;480;
1050;480;
1050;600;
870;600;
870;390;
1050;390;
1050;690;
870;690;
750;390;
1170;390;
1170;690;
750;690;
750;540;
1170;540;
450;240;
1470;240;
1470;840;
450;840;
450;150;
1470;150;
1470;930;
450;930;
540;150;
1380;150;
1380;930;
540;930;
510;210;
1410;210;
1410;870;
510;870;
600;240;
1320;240;
1320;840;
600;840;
540;300;
1380;300;
1380;780;
540;780;
600;300;
1320;300;
1320;780;
600;780;
570;270;
1350;270;
1350;810;
570;810;
960;180;
960;900;
870;180;
1050;180;
1050;900;
870;900;
480;540;
1440;540;
480;420;
1440;420;
1440;660;
480;660;
y540;240;
1380;840;
1380;240;
540;840;
