800;
800
!359;390;~180;210;
210;210;
240;210;
270;210;
300;210;
330;210;
360;210;
390;210;
420;210;
450;210;
480;210;
510;210;
540;210;
540;240;
540;270;
540;300;
540;330;
540;360;
540;390;
540;420;
540;450;
540;480;
540;510;
540;540;
540;570;
510;570;
480;570;
450;570;
420;570;
390;570;
360;570;
330;570;
300;570;
270;570;
240;570;
210;570;
180;570;
180;540;
180;510;
180;480;
180;450;
180;420;
180;390;
180;360;
180;330;
180;300;
180;270;
180;240;
150;60;
120;60;
90;60;
60;60;
60;90;
60;120;
60;150;
630;720;
660;720;
690;720;
690;690;
690;660;
690;630;
600;720;
